"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-14","0.00",,"57","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-15","0.39",,"75","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-16","0.00",,"58","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-17","0.00",,"45","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-18","0.00",,"46","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-19","0.00",,"51","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-20","0.00",,"53","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-21","0.75",,"46","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-22","0.68",,"49","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-23","0.00",,"48","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-24","0.00",,"60","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-25","0.00",,"56","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-26","0.00",,"49","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-27","0.00",,"47","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-28","0.00",,"53","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-29","0.00",,"59","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-30","0.00",,"70","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-31","0.06",,"65","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-01","0.00",,"46","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-02","0.00",,"52","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-03","0.00",,"67","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-04","0.00",,"60","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-05","0.20",,"45","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-06","0.00",,"68","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-07","0.00",,"66","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-08","0.26",,"79","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-09","0.03",,"51","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-10","0.00",,"60","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-11","0.00",,"55","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-12","0.63",,"68","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-13","0.24",,"77","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-14","0.01",,"73","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-15","0.96",,"65","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-16","0.00",,"66","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-17","0.01",,"63","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-18","0.00",,"62","51"
